"日期","收市","開市","高","低","成交量","升跌（%）"
"2025-8-1","24,233.10","23,318.37","24,570.15","23,151.65","","2.93%"
"2025-7-1","23,542.52","22,419.74","23,631.11","22,190.46","","5.78%"
"2025-6-1","22,256.02","21,253.97","22,587.67","20,940.98","","4.26%"
"2025-5-1","21,347.30","20,534.08","21,879.24","20,320.80","","5.50%"
"2025-4-1","20,235.03","20,884.53","21,390.52","17,306.97","","-2.23%"
"2025-3-1","20,695.90","22,734.05","22,979.97","20,695.90","","-10.23%"
"2025-2-1","23,053.18","22,796.71","23,732.58","22,502.20","","-2.01%"
"2025-1-1","23,525.41","22,975.71","23,943.95","22,458.22","","2.13%"
"2024-12-1","23,035.10","22,456.50","23,387.17","22,456.50","","3.47%"
"2024-11-1","22,262.50","22,438.93","23,699.70","22,055.38","73.07B","-2.44%"
"2024-10-1","22,820.43","22,329.65","23,713.70","22,193.50","61.15B","2.68%"
"2024-9-1","22,224.54","22,341.90","23,079.21","20,922.17","68.87B","-0.20%"
"2024-8-1","22,268.09","22,546.40","22,652.21","19,662.74","89.43B","0.31%"
"2024-7-1","22,199.35","23,042.70","24,416.67","21,833.85","106.61B","-3.62%"
"2024-6-1","23,032.25","21,388.71","23,406.10","21,264.63","88.86B","8.77%"
"2024-5-1","21,174.22","20,360.67","21,937.40","20,222.44","109.88B","3.81%"
"2024-4-1","20,396.60","20,319.73","20,883.69","19,291.88","91.03B","0.50%"
"2024-3-1","20,294.45","19,021.35","20,397.07","18,923.46","88.68B","7.00%"
"2024-2-1","18,966.77","17,871.27","19,023.01","17,832.95","43.97B","6.02%"
"2024-1-1","17,889.56","17,939.79","18,138.74","17,151.58","62.12B","-0.23%"
"2023-12-1","17,930.81","17,422.35","17,945.70","17,252.57","74.90B","2.85%"
"2023-11-1","17,433.85","16,027.72","17,441.79","15,978.26","65.83B","8.95%"
"2023-10-1","16,001.27","16,382.96","16,825.91","15,975.91","54.85B","-2.16%"
"2023-9-1","16,353.74","16,640.92","16,920.92","16,202.43","55.43B","-1.69%"
"2023-8-1","16,634.51","17,141.97","17,252.32","16,264.65","76.13B","-2.98%"
"2023-7-1","17,145.43","16,946.71","17,463.76","16,593.84","90.90B","1.36%"
"2023-6-1","16,915.54","16,511.00","17,346.32","16,477.43","82.32B","2.03%"
"2023-5-1","16,578.96","15,588.68","16,683.76","15,424.42","68.60B","6.42%"
"2023-4-1","15,579.18","15,838.07","15,973.82","15,284.46","51.40B","-1.82%"
"2023-3-1","15,868.06","15,435.38","15,951.80","15,186.74","67.37B","2.35%"
"2023-2-1","15,503.79","15,346.35","15,717.96","15,291.68","47.43B","1.56%"
"2023-1-1","15,265.20","14,108.16","15,493.82","14,001.97","28.39B","7.98%"
"2022-12-1","14,137.69","15,059.92","15,152.38","13,981.63","60.36B","-4.99%"
"2022-11-1","14,879.55","12,933.12","14,879.55","12,868.25","61.59B","14.90%"
"2022-10-1","12,949.75","13,359.26","13,902.02","12,629.48","50.23B","-3.54%"
"2022-9-1","13,424.58","14,981.00","14,981.00","13,274.72","58.43B","-11.07%"
"2022-8-1","15,095.44","14,982.27","15,475.89","14,545.69","66.04B","0.64%"
"2022-7-1","15,000.07","14,812.13","15,035.27","13,928.66","67.28B","1.18%"
"2022-6-1","14,825.73","16,718.91","16,811.04","14,825.73","67.00B","-11.79%"
"2022-5-1","16,807.77","16,593.21","16,807.77","15,616.68","68.92B","1.30%"
